scFv,CLDN4,AvgOff,MaxOff,MaxOffTarget,R_avg,R_max,R_spec,n_off_above_0p70,n_off_within_10pct,n_off_margin_lt_1p20,CLDN18_2,pass_worstcase,Category_Rmax,Category_Rspec
scfv_73_0,0.846,0.374,0.798,CLDN18.2,2.262,1.061,1.549,1,1,1,0.798,False,Acceptable (1.00 < R_max <= 1.20),Excellent (R_spec > 1.50)
scfv_48_1,0.877,0.403,0.866,CLDN15,2.178,1.012,1.484,2,1,2,0.205,False,Acceptable (1.00 < R_max <= 1.20),Good (1.20 < R_spec <= 1.50)
scfv_55_6,0.87,0.572,0.857,CLDN17,1.523,1.016,1.244,8,8,8,0.303,False,Acceptable (1.00 < R_max <= 1.20),Good (1.20 < R_spec <= 1.50)
scfv_77_6,0.55,0.338,0.681,CLDN10,1.629,0.807,1.147,0,2,2,0.344,False,Not specific (R_max <= 1.00),Acceptable (1.00 < R_spec <= 1.20)
scfv_39_1,0.743,0.48,0.877,CLDN34,1.547,0.847,1.145,3,4,5,0.412,False,Not specific (R_max <= 1.00),Acceptable (1.00 < R_spec <= 1.20)
scfv_93_7,0.807,0.586,0.85,CLDN6,1.376,0.949,1.143,10,10,11,0.367,False,Not specific (R_max <= 1.00),Acceptable (1.00 < R_spec <= 1.20)
scfv_25_2,0.625,0.41,0.793,CLDN8,1.525,0.787,1.096,2,5,7,0.323,False,Not specific (R_max <= 1.00),Acceptable (1.00 < R_spec <= 1.20)
scfv_77_1,0.564,0.378,0.788,CLDN34,1.491,0.716,1.033,2,3,3,0.369,False,Not specific (R_max <= 1.00),Acceptable (1.00 < R_spec <= 1.20)
scfv_39_5,0.543,0.479,0.697,CLDN8,1.133,0.78,0.94,0,12,14,0.327,False,Not specific (R_max <= 1.00),Not specific (R_spec <= 1.00)
scfv_50_2,0.512,0.398,0.762,CLDN11,1.286,0.672,0.93,2,6,8,0.263,False,Not specific (R_max <= 1.00),Not specific (R_spec <= 1.00)
scfv_39_3,0.535,0.422,0.808,CLDN2,1.268,0.661,0.916,2,5,6,0.335,False,Not specific (R_max <= 1.00),Not specific (R_spec <= 1.00)
scfv_73_2,0.356,0.331,0.464,CLDN12,1.074,0.768,0.908,0,13,15,0.442,False,Not specific (R_max <= 1.00),Not specific (R_spec <= 1.00)
scfv_39_2,0.571,0.497,0.798,CLDN19,1.149,0.715,0.906,4,9,12,0.408,False,Not specific (R_max <= 1.00),Not specific (R_spec <= 1.00)
scfv_55_9,0.597,0.534,0.878,CLDN8,1.118,0.68,0.872,4,11,12,0.33,False,Not specific (R_max <= 1.00),Not specific (R_spec <= 1.00)
scfv_86_1,0.308,0.319,0.487,CLDN5,0.967,0.633,0.782,0,19,20,0.189,False,Not specific (R_max <= 1.00),Not specific (R_spec <= 1.00)
