organ_system,tissue,cell_type,level,reliability
CNS,caudate,glial cells,Not detected,Enhanced
CNS,caudate,neuronal cells,Not detected,Enhanced
CNS,cerebellum,Purkinje cells,Low,Enhanced
CNS,cerebellum,cells in granular layer,Not detected,Enhanced
CNS,cerebellum,cells in molecular layer,Not detected,Enhanced
CNS,cerebral cortex,neuronal cells,Low,Enhanced
CNS,cerebral cortex,endothelial cells,Not detected,Enhanced
CNS,cerebral cortex,glial cells,Not detected,Enhanced
CNS,cerebral cortex,neuropil,Not detected,Enhanced
CNS,hippocampus,neuronal cells,Low,Enhanced
CNS,hippocampus,glial cells,Not detected,Enhanced
Cardiac/muscle,heart muscle,cardiomyocytes,Not detected,Enhanced
Cardiac/muscle,skeletal muscle,myocytes,Not detected,Enhanced
Cardiac/muscle,smooth muscle,smooth muscle cells,Not detected,Enhanced
Connective/other,adipose tissue,adipocytes,Not detected,Enhanced
Connective/other,soft tissue 1,chondrocytes,Not detected,Enhanced
Connective/other,soft tissue 1,fibroblasts,Not detected,Enhanced
Connective/other,soft tissue 2,fibroblasts,Not detected,Enhanced
Endocrine,adrenal gland,glandular cells,Not detected,Enhanced
Endocrine,parathyroid gland,glandular cells,Low,Enhanced
Endocrine,thyroid gland,glandular cells,Medium,Enhanced
Gastrointestinal,appendix,endocrine cells,High,Enhanced
Gastrointestinal,appendix,enterocytes,High,Enhanced
Gastrointestinal,appendix,goblet cells,High,Enhanced
Gastrointestinal,appendix,germinal center cells,Low,Enhanced
Gastrointestinal,appendix,enterocytes - Microvilli,Not detected,Enhanced
Gastrointestinal,appendix,non-germinal center cells,Not detected,Enhanced
Gastrointestinal,colon,endocrine cells,High,Enhanced
Gastrointestinal,colon,enterocytes,High,Enhanced
Gastrointestinal,colon,goblet cells,High,Enhanced
Gastrointestinal,colon,endothelial cells,Not detected,Enhanced
Gastrointestinal,colon,enterocytes - Microvilli,Not detected,Enhanced
Gastrointestinal,colon,fibroblasts,Not detected,Enhanced
Gastrointestinal,colon,mucosal lymphoid cells,Not detected,Enhanced
Gastrointestinal,duodenum,endocrine cells,High,Enhanced
Gastrointestinal,duodenum,enterocytes,High,Enhanced
Gastrointestinal,duodenum,goblet cells,High,Enhanced
Gastrointestinal,duodenum,paneth cells,High,Enhanced
Gastrointestinal,duodenum,enterocytes - Microvilli,Not detected,Enhanced
Gastrointestinal,esophagus,squamous epithelial cells,Medium,Enhanced
Gastrointestinal,oral mucosa,squamous epithelial cells,Medium,Enhanced
Gastrointestinal,rectum,endocrine cells,High,Enhanced
Gastrointestinal,rectum,enterocytes,High,Enhanced
Gastrointestinal,rectum,goblet cells,High,Enhanced
Gastrointestinal,rectum,endothelial cells,Not detected,Enhanced
Gastrointestinal,rectum,enterocytes - Microvilli,Not detected,Enhanced
Gastrointestinal,rectum,fibroblasts,Not detected,Enhanced
Gastrointestinal,rectum,mucosal lymphoid cells,Not detected,Enhanced
Gastrointestinal,rectum,peripheral nerve/ganglion,Not detected,Enhanced
Gastrointestinal,salivary gland,glandular cells,Medium,Enhanced
Gastrointestinal,small intestine,endocrine cells,High,Enhanced
Gastrointestinal,small intestine,enterocytes,High,Enhanced
Gastrointestinal,small intestine,goblet cells,High,Enhanced
Gastrointestinal,small intestine,paneth cells,High,Enhanced
