"ensembl","gene","tissue","cell_type","level","reliability"
"ENSG00000189143","CLDN4","adipose tissue","adipocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","adrenal gland","glandular cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","appendix","endocrine cells","High","Enhanced"
"ENSG00000189143","CLDN4","appendix","enterocytes","High","Enhanced"
"ENSG00000189143","CLDN4","appendix","enterocytes - Microvilli","Not detected","Enhanced"
"ENSG00000189143","CLDN4","appendix","germinal center cells","Low","Enhanced"
"ENSG00000189143","CLDN4","appendix","goblet cells","High","Enhanced"
"ENSG00000189143","CLDN4","appendix","non-germinal center cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","bone marrow","hematopoietic cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","breast","adipocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","breast","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","breast","myoepithelial cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","bronchus","respiratory epithelial cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","caudate","glial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","caudate","neuronal cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","cerebellum","cells in granular layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","cerebellum","cells in molecular layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","cerebellum","Purkinje cells","Low","Enhanced"
"ENSG00000189143","CLDN4","cerebral cortex","endothelial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","cerebral cortex","glial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","cerebral cortex","neuronal cells","Low","Enhanced"
"ENSG00000189143","CLDN4","cerebral cortex","neuropil","Not detected","Enhanced"
"ENSG00000189143","CLDN4","cervix","glandular cells","Low","Enhanced"
"ENSG00000189143","CLDN4","cervix","squamous epithelial cells","Low","Enhanced"
"ENSG00000189143","CLDN4","colon","endocrine cells","High","Enhanced"
"ENSG00000189143","CLDN4","colon","endothelial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","colon","enterocytes","High","Enhanced"
"ENSG00000189143","CLDN4","colon","enterocytes - Microvilli","Not detected","Enhanced"
"ENSG00000189143","CLDN4","colon","fibroblasts","Not detected","Enhanced"
"ENSG00000189143","CLDN4","colon","goblet cells","High","Enhanced"
"ENSG00000189143","CLDN4","colon","mucosal lymphoid cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","duodenum","endocrine cells","High","Enhanced"
"ENSG00000189143","CLDN4","duodenum","enterocytes","High","Enhanced"
"ENSG00000189143","CLDN4","duodenum","enterocytes - Microvilli","Not detected","Enhanced"
"ENSG00000189143","CLDN4","duodenum","goblet cells","High","Enhanced"
"ENSG00000189143","CLDN4","duodenum","paneth cells","High","Enhanced"
"ENSG00000189143","CLDN4","endometrium 1","cells in endometrial stroma","Not detected","Enhanced"
"ENSG00000189143","CLDN4","endometrium 1","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","endometrium 2","cells in endometrial stroma","Not detected","Enhanced"
"ENSG00000189143","CLDN4","endometrium 2","glandular cells","Low","Enhanced"
"ENSG00000189143","CLDN4","epididymis","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","esophagus","squamous epithelial cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","fallopian tube","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","gallbladder","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","heart muscle","cardiomyocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","hippocampus","glial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","hippocampus","neuronal cells","Low","Enhanced"
"ENSG00000189143","CLDN4","kidney","bowman's capsule","Not detected","Enhanced"
"ENSG00000189143","CLDN4","kidney","cells in glomeruli","Not detected","Enhanced"
"ENSG00000189143","CLDN4","kidney","collecting ducts","Medium","Enhanced"
"ENSG00000189143","CLDN4","kidney","distal tubules","High","Enhanced"
"ENSG00000189143","CLDN4","kidney","proximal tubules (cell body)","Medium","Enhanced"
"ENSG00000189143","CLDN4","kidney","proximal tubules (microvilli)","Not detected","Enhanced"
"ENSG00000189143","CLDN4","liver","cholangiocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","liver","hepatocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","lung","alveolar cells type I","Low","Enhanced"
"ENSG00000189143","CLDN4","lung","alveolar cells type II","Not detected","Enhanced"
"ENSG00000189143","CLDN4","lung","endothelial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","lung","macrophages","Not detected","Enhanced"
"ENSG00000189143","CLDN4","lymph node","germinal center cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","lymph node","non-germinal center cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","oral mucosa","squamous epithelial cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","ovary","follicle cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","ovary","ovarian stroma cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","pancreas","exocrine glandular cells","High","Enhanced"
"ENSG00000189143","CLDN4","pancreas","pancreatic endocrine cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","parathyroid gland","glandular cells","Low","Enhanced"
"ENSG00000189143","CLDN4","placenta","cytotrophoblasts","High","Enhanced"
"ENSG00000189143","CLDN4","placenta","decidual cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","placenta","endothelial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","placenta","hofbauer cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","placenta","syncytiotrophoblasts - cell body","High","Enhanced"
"ENSG00000189143","CLDN4","placenta","syncytiotrophoblasts - microvilli","High","Enhanced"
"ENSG00000189143","CLDN4","prostate","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","rectum","endocrine cells","High","Enhanced"
"ENSG00000189143","CLDN4","rectum","endothelial cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","rectum","enterocytes","High","Enhanced"
"ENSG00000189143","CLDN4","rectum","enterocytes - Microvilli","Not detected","Enhanced"
"ENSG00000189143","CLDN4","rectum","fibroblasts","Not detected","Enhanced"
"ENSG00000189143","CLDN4","rectum","goblet cells","High","Enhanced"
"ENSG00000189143","CLDN4","rectum","mucosal lymphoid cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","rectum","peripheral nerve/ganglion","Not detected","Enhanced"
"ENSG00000189143","CLDN4","salivary gland","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","seminal vesicle","glandular cells","Medium","Enhanced"
"ENSG00000189143","CLDN4","skeletal muscle","myocytes","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","arrector pili muscle cells","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","cells in basal layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","cells in corneal layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","cells in granular layer","High","Enhanced"
"ENSG00000189143","CLDN4","skin 1","cells in spinous layer","Not detected","Enhanced"
"ENSG00000189143","CLDN4","skin 1","endothelial cells","Not detected","Enhanced"
