sample,donor_id,study,cell_type,group,g,tot,cpm,expr
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),13.0,43112.0,301.54017442939323,5.712214076683742
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),7.0,17279.0,405.1160368076856,6.006638923712318
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),30.0,83743.0,358.2388975794992,5.883987620040383
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),1.0,7296.0,137.06140350877192,4.927698539157105
Adams_Kaminski_2020_001C,Adams_Kaminski_2020_001C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),10.0,51343.0,194.76851761681243,5.276932928694668
Adams_Kaminski_2020_002C,Adams_Kaminski_2020_002C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),5.0,18985.0,263.3658151171978,5.577333807323546
Adams_Kaminski_2020_002C,Adams_Kaminski_2020_002C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),4.0,10017.0,399.32115403813515,5.992267110063498
Adams_Kaminski_2020_002C,Adams_Kaminski_2020_002C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),36.0,166125.0,216.70428893905193,5.383137669190451
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),46.0,107008.0,429.8744019138756,6.06581663676267
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),7.0,40748.0,171.78757239619122,5.152062934780137
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),3.0,8231.0,364.47576236180294,5.901199963343388
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),6.0,75617.0,79.3472367324808,4.386357701206108
Adams_Kaminski_2020_003C,Adams_Kaminski_2020_003C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),69.0,227137.0,303.7814182629867,5.719594858250017
Adams_Kaminski_2020_8CO,Adams_Kaminski_2020_8CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),3.0,51762.0,57.9575750550597,4.076818118389748
Adams_Kaminski_2020_8CO,Adams_Kaminski_2020_8CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),16.0,82143.0,194.78226994387833,5.277003174126466
Adams_Kaminski_2020_8CO,Adams_Kaminski_2020_8CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),29.0,126172.0,229.8449735281996,5.441746374958959
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),49.0,108438.0,451.8711152916874,6.115607571296447
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),20.0,58860.0,339.78933061501874,5.831264487584276
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),32.0,93688.0,341.5592178293912,5.836444541528955
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),122.0,378517.0,322.31049067809374,5.778613132946336
Adams_Kaminski_2020_022C-a,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),63.0,144772.0,435.1670212472025,6.07802524624911
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),34.0,60782.0,559.3761310914415,6.328608220928069
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),5.0,18428.0,271.32624267419146,5.607000769160857
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),41.0,114627.0,357.6818725082223,5.882435846623979
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),184.0,386434.0,476.14857905877847,6.167827928882885
Adams_Kaminski_2020_022C-b,Adams_Kaminski_2020_222C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),53.0,130507.0,406.1084846023585,6.009079696859814
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),7.0,26221.0,266.9615956675947,5.590843670494686
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),9.0,21969.0,409.6681687832855,6.017785513170173
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),57.0,100931.0,564.7422496557055,6.338138585181111
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),8.0,12262.0,652.42211710977,6.482223347859126
Adams_Kaminski_2020_23CO,Adams_Kaminski_2020_23CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),37.0,73167.0,505.6924569819727,6.227904225814857
Adams_Kaminski_2020_034C,Adams_Kaminski_2020_034C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),4.0,16292.0,245.51927326295115,5.507440178105562
Adams_Kaminski_2020_034C,Adams_Kaminski_2020_034C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),0.0,918.0,0.0,0.0
Adams_Kaminski_2020_034C,Adams_Kaminski_2020_034C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),16.0,55249.0,289.59800177378776,5.6719408749039655
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),21.0,110766.0,189.58886300850443,5.250118558287876
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),2.0,10280.0,194.5525291828794,5.27582903480686
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),169.0,406140.0,416.1126705077067,6.033356378367274
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),64.0,382954.0,167.1218997581955,5.12468931008613
Adams_Kaminski_2020_052CO-a,Adams_Kaminski_2020_052CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),15.0,63474.0,236.31723225257585,5.469397778810113
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),18.0,180233.0,99.87072289758258,4.613839725667242
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,club cell,Epithelial (normal lung),1.0,14959.0,66.8493883280968,4.217290371179031
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),12.0,40050.0,299.62546816479403,5.705865198163742
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),8.0,56652.0,141.2130198404293,4.957326073237052
Adams_Kaminski_2020_056CO,Adams_Kaminski_2020_056CO,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),79.0,471425.0,167.57702709869014,5.127392779455303
Adams_Kaminski_2020_065C,Adams_Kaminski_2020_065C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),1.0,22321.0,44.800860176515386,3.8243028720903998
Adams_Kaminski_2020_065C,Adams_Kaminski_2020_065C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,8477.0,0.0,0.0
Adams_Kaminski_2020_065C,Adams_Kaminski_2020_065C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),22.0,131117.0,167.78907388057993,5.12864985187128
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),2.0,10268.0,194.77989871445266,5.276991062489462
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,10593.0,0.0,0.0
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),0.0,14349.0,0.0,0.0
Adams_Kaminski_2020_081C,Adams_Kaminski_2020_081C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),2.0,8300.0,240.96385542168673,5.48878835724008
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),0.0,1650.0,0.0,0.0
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,4168.0,0.0,0.0
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),3.0,13210.0,227.1006813020439,5.429787116142716
Adams_Kaminski_2020_084C,Adams_Kaminski_2020_084C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),4.0,8333.0,480.0192007680307,6.175907187745696
Adams_Kaminski_2020_092C,Adams_Kaminski_2020_092C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),0.0,3745.0,0.0,0.0
Adams_Kaminski_2020_92C,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),0.0,952.0,0.0,0.0
Adams_Kaminski_2020_92C,Adams_Kaminski_2020_192C,Adams_Kaminski_2020,multiciliated epithelial cell,Epithelial (normal lung),5.0,25789.0,193.88111210205903,5.272389691104485
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,epithelial cell of lung,Epithelial (normal lung),31.0,83354.0,371.9077668738153,5.921331115269868
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,club cell,Epithelial (normal lung),45.0,40335.0,1115.6563778356265,7.018094122230011
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,pulmonary alveolar type 1 cell,Epithelial (normal lung),1.0,18984.0,52.67593763168985,3.9829648122976877
Adams_Kaminski_2020_098C-a,Adams_Kaminski_2020_098C,Adams_Kaminski_2020,pulmonary alveolar type 2 cell,Epithelial (normal lung),80.0,177271.0,451.2864484320616,6.114315714575872
