unit,stage,n,n_ref,median,median_ref,U,p_raw,p_BH,signif_BH
sample x cell_type (as submitted),I,68,928,6.07701283965217,5.829010988406896,34341.0,0.22326578233851901,0.37210963723086504,ns
sample x cell_type (as submitted),II,50,928,5.7136935612147965,5.829010988406896,22129.0,0.582160636489848,0.7277007956123099,ns
sample x cell_type (as submitted),III,28,928,5.863442105489684,5.829010988406896,13247.0,0.8596632731183461,0.8596632731183461,ns
sample x cell_type (as submitted),III or IV,42,928,6.328696611313687,5.829010988406896,25501.0,0.0007098362005805325,0.0017745905014513311,**
sample x cell_type (as submitted),IV,59,928,6.5638250457787075,5.829010988406896,39723.0,6.051630940089691e-09,3.025815470044846e-08,***
patient-level,I,59,162,6.018453621923691,5.76063493723548,5561.0,0.06309104628047778,0.1051517438007963,ns
patient-level,II,25,162,5.8030204273163735,5.76063493723548,2413.5,0.12347206098786427,0.15434007623483034,ns
patient-level,III,21,162,5.9365348659532815,5.76063493723548,1880.0,0.4344788040791846,0.4344788040791846,ns
patient-level,III or IV,42,162,6.328696611313687,5.76063493723548,4737.0,9.06699688924283e-05,0.00022667492223107076,***
patient-level,IV,46,162,6.508371727936488,5.76063493723548,5595.5,2.1262652385459836e-07,1.0631326192729918e-06,***
