unit,stage,n,n_ref,median,median_ref,log2FC,U,rank_biserial,p_raw,p_BH,signif_BH
sample-level (published design),I,68,211,6.07701283965217,5.72155446825658,0.35545837139558945,8343.5,0.1630192361304712,0.04334047963939286,0.07223413273232143,ns
sample-level (published design),II,50,211,5.7136935612147965,5.72155446825658,-0.007860907041783882,5413.5,0.026255924170616174,0.7737003333774389,0.7737003333774389,ns
sample-level (published design),III,28,211,5.863442105489684,5.72155446825658,0.14188763723310327,3189.5,0.0797224102911307,0.4941940725167766,0.6177425906459707,ns
sample-level (published design),III or IV,42,211,6.328696611313687,5.72155446825658,0.6071421430571062,6190.0,0.39697585195215535,4.9021969367481064e-05,0.00012255492341870265,***
sample-level (published design),IV,59,211,6.5638250457787075,5.72155446825658,0.8422705775221271,9549.5,0.5341794521648324,3.6105287971721814e-10,1.8052643985860907e-09,***
donor-level,I,59,162,6.018453621923691,5.76063493723548,0.25781868468821134,5561.0,0.16363255911278518,0.06309104628047778,0.1051517438007963,ns
donor-level,II,25,162,5.8030204273163735,5.76063493723548,0.04238549008089354,2413.5,0.19185185185185194,0.12347206098786427,0.15434007623483034,ns
donor-level,III,21,162,5.9365348659532815,5.76063493723548,0.17589992871780158,1880.0,0.10523221634332747,0.4344788040791846,0.4344788040791846,ns
donor-level,III or IV,42,162,6.328696611313687,5.76063493723548,0.5680616740782067,4737.0,0.39241622574955914,9.06699688924283e-05,0.00022667492223107076,***
donor-level,IV,46,162,6.508371727936488,5.76063493723548,0.7477367907010084,5595.5,0.5017444981213097,2.1262652385459836e-07,1.0631326192729918e-06,***
