INN,cognate_target,target_confidence,code_name,developer,modality,highest_phase,sources
eclutatug,CLDN1,high,ALE.C04,Alentis Therapeutics AG,"Naked (unconjugated) humanized IgG1-kappa monoclonal antibody, produce","Phase 1/2 (NCT06054477, first-in-human, R/M HNSCC, monotherapy and with pembroli",https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl131.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl93.pdf; https://api-evsrest.nci.nih.gov/api/v1/concept/ncit/C201755?include=full
lixudebart,CLDN1,high,ALE.F02,Alentis Therapeutics AG,"Naked (unconjugated) humanized IgG1-kappa monoclonal antibody, produce","Phase 2 (ongoing/recruiting) — RENAL-F02, NCT06047171, ANCA-associated vasculiti","https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl128.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl90.pdf; https://clinicaltrials.gov/api/v2/studies/NCT06047171?fields=NCTId,BriefTitle,Phase,OverallStatus,LeadSponsorName,InterventionName,Condition"
garetatug,CLDN18.2,high,SHR-A1904,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.","Naked humanized IgG1-kappa monoclonal antibody (the INN ""garetatug"" de",Phase 3 (as the ADC garetatug rezetecan / SHR-A1904),https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl94.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl132.pdf; https://clinicaltrials.gov/study/NCT06649292
omectatug,CLDN18.2,high,ASKB589,"Jiangsu Aosaikang Pharmaceutical Co., Ltd.",Naked (unconjugated) humanized IgG1-kappa monoclonal antibody; afucosy,"Phase 3 (ongoing/active, not recruiting) — NCT06206733, first-line advanced/meta",https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl131.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl93.pdf; https://pubchem.ncbi.nlm.nih.gov/rest/pug/substance/name/omectatug/synonyms/TXT
osemitamab,CLDN18.2,high,TST001,Transcenta Holding Ltd.,"Naked (unconjugated) humanized IgG1-kappa monoclonal antibody, ADCC-en",Phase 3,https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl126.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl88.pdf; https://clinicaltrials.gov/study/NCT06093425
gresonitamab,CLDN18.2,high,AMG 910,Amgen Inc.,Bispecific T-cell engager (half-life-extended BiTE); WHO INN format: s,Phase 1 (terminated),"https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl87.pdf; https://clinicaltrials.gov/study/NCT04260191; https://clinicaltrials.gov/api/v2/studies/NCT04260191?fields=NCTId,BriefTitle,OverallStatus,Phase,LeadSponsorName,InterventionName,InterventionOtherName,Condition,CompletionDate,WhyStopped"
ixotatug,CLDN6,high,TORL-1-23,"TORL BioTherapeutics, LLC",Humanized/chimeric IgG1-kappa monoclonal antibody. The unconjugated an,Phase 2 (registrational/pivotal),https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl132.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl94.pdf; https://clinicaltrials.gov/study/NCT06690775
sonesitamab,UNKNOWN,unknown,,None - no substance with this INN exists.,"N/A - ""sonesitamab"" does not exist as an INN. (Nearest real INN, sones","N/A - no drug named ""sonesitamab"" is registered in ClinicalTrials",https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl131.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl93.pdf; https://opig.stats.ox.ac.uk/webapps/sabdab-sabpred/therasabdab/search/?therapeutic=sonesitamab
tecotabart,CLDN18.2,high,LM-302,LaNova Medicines,"Humanized IgG1-kappa monoclonal antibody (produced in CHO-K1, glycofor",Phase 3 (two registered Phase III trials in CLDN18,https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/rl92.pdf; https://cdn.who.int/media/docs/default-source/international-nonproprietary-names-(inn)/pl130.pdf; https://gsrs.ncats.nih.gov/ginas/app/beta/substances/9GK5GYD8DQ
zolbetuximab,CLDN18.2,high,IMAB362,Astellas Pharma,Naked (unconjugated) chimeric mouse/human IgG1 monoclonal antibody; cy,Phase 3 completed and approved/marketed — brand name VYLOY (zolbetuximab-clzb); ,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-zolbetuximab-clzb-chemotherapy-gastric-or-gastroesophageal-junction-adenocarcinoma; https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761365s000lbl.pdf; https://newsroom.astellas.com/2024-09-24-Astellas-Receives-Approval-from-the-European-Commission-for-VYLOYTM-zolbetuximab-in-Combination-with-Chemotherapy-for-Advanced-Gastric-and-Gastroesophageal-Junction-Cancer
