time_ns,atom_contacts,residue_contacts_scFv,residue_contacts_CLDN4,residue_pairs,CLDN4_backbone_rmsd,scFv_rmsd_antigen_aligned,complex_backbone_rmsd,interface_rmsd,interface_hbonds,salt_bridges
0.0,301,28,24,59,0.0,0.0,0.0,0.0,7,5
1.0,294,29,22,59,0.992,2.354,1.88,1.573,7,3
2.0,359,31,32,71,1.118,1.867,1.582,1.365,9,6
3.0,293,24,22,55,1.076,2.15,1.76,1.392,7,4
4.0,229,21,20,49,1.013,2.48,1.973,1.557,3,3
5.0,285,26,25,59,1.033,2.453,1.959,1.407,5,2
6.0,309,27,20,60,1.047,3.021,2.364,1.983,5,2
7.0,297,24,20,54,1.203,1.905,1.633,1.37,7,2
8.0,313,28,22,59,0.89,2.924,2.266,1.774,9,5
9.0,273,23,18,51,1.198,2.575,2.084,2.183,5,3
10.0,255,24,18,47,1.313,4.127,3.208,2.927,5,3
11.0,230,25,17,46,1.456,4.222,3.303,2.863,4,2
12.0,248,24,20,49,1.476,3.143,2.547,2.272,6,4
13.0,326,28,21,58,1.308,2.962,2.38,2.28,10,5
14.0,305,30,24,60,1.498,4.483,3.498,2.925,6,3
15.0,310,30,24,61,1.538,5.248,4.057,3.176,9,4
16.0,298,27,24,57,1.523,3.319,2.681,2.447,10,5
17.0,338,28,22,61,1.438,4.539,3.527,2.766,10,4
18.0,309,24,20,55,1.713,3.285,2.708,2.549,9,4
19.0,344,30,23,63,1.713,3.677,2.977,2.634,11,4
20.0,305,28,22,57,1.569,4.796,3.736,2.797,10,4
21.0,313,28,24,63,1.622,2.519,2.17,2.564,9,4
22.0,334,25,21,56,1.702,3.439,2.81,2.443,10,4
23.0,288,25,22,54,1.584,3.962,3.145,2.523,8,3
24.0,264,28,20,52,1.548,3.982,3.151,2.856,10,2
25.0,250,25,23,52,1.404,4.282,3.336,2.934,5,4
26.0,234,26,25,58,1.46,2.559,2.146,2.274,7,1
27.0,299,26,22,57,1.392,4.198,3.273,3.027,10,3
28.0,275,26,19,52,1.297,3.691,2.892,2.497,10,3
29.0,265,28,22,58,1.359,4.068,3.174,2.96,10,3
30.0,245,23,20,52,1.434,4.674,3.624,3.398,6,3
31.0,300,28,23,53,1.177,4.29,3.303,2.998,11,5
32.0,288,26,21,55,1.16,4.404,3.383,2.943,9,3
33.0,304,29,20,55,1.12,3.401,2.651,2.953,10,3
34.0,234,27,22,51,1.159,5.595,4.256,3.51,6,4
35.0,239,24,23,51,1.356,4.585,3.546,3.205,9,3
36.0,250,26,19,48,1.417,5.197,4.0,3.345,7,3
37.0,218,26,19,49,1.457,3.066,2.489,2.943,7,1
38.0,202,23,18,47,1.357,3.813,2.991,2.886,6,4
39.0,259,25,18,48,1.197,3.234,2.547,2.734,7,4
40.0,272,26,18,50,1.51,3.378,2.718,2.703,6,4
41.0,264,26,19,50,1.775,4.136,3.311,3.273,8,4
42.0,268,26,21,52,2.023,4.547,3.657,3.417,9,4
43.0,247,25,18,50,1.966,4.598,3.679,3.388,9,3
44.0,265,25,17,50,2.356,3.654,3.149,3.429,7,4
45.0,237,24,19,48,1.993,3.898,3.202,3.436,10,4
46.0,251,23,18,46,2.473,3.342,2.991,3.532,8,4
47.0,245,24,17,44,2.407,4.809,3.936,3.917,7,3
48.0,300,25,20,53,2.253,5.736,4.544,3.844,6,3
49.0,259,26,21,50,2.475,4.182,3.533,3.573,8,1
50.0,267,27,20,52,2.663,3.554,3.192,3.511,6,1
51.0,250,26,22,53,2.391,3.572,3.108,3.266,9,3
52.0,232,26,21,51,2.206,5.158,4.127,3.499,6,2
53.0,232,27,20,49,2.052,3.905,3.223,3.397,7,2
54.0,241,27,22,54,2.266,4.539,3.714,3.594,4,2
55.0,253,27,19,49,2.292,3.4,2.964,3.249,6,2
56.0,231,25,20,47,2.199,3.582,3.051,3.26,7,2
57.0,240,25,19,47,2.011,4.242,3.442,3.224,9,1
58.0,233,27,18,47,2.111,3.904,3.239,3.153,4,2
59.0,269,27,18,50,1.961,4.912,3.898,3.162,6,2
60.0,229,23,17,45,2.214,6.07,4.773,3.7,6,3
61.0,257,25,20,51,2.318,4.017,3.376,3.648,6,2
62.0,234,27,19,52,2.225,4.902,3.953,3.475,7,1
63.0,259,25,18,48,1.956,4.278,3.454,3.069,6,1
64.0,250,24,19,51,2.047,4.726,3.788,3.531,7,1
65.0,235,26,20,49,2.016,3.806,3.146,3.069,6,1
66.0,248,28,20,51,2.149,4.051,3.35,3.027,6,1
67.0,268,30,20,54,2.078,4.432,3.591,3.502,7,1
68.0,295,30,22,62,2.017,5.557,4.368,3.748,7,1
69.0,289,30,24,60,2.112,4.928,3.944,3.595,7,1
70.0,272,28,23,57,2.113,5.156,4.104,3.55,7,1
71.0,267,27,21,53,2.017,6.24,4.857,3.723,7,1
72.0,285,28,22,56,1.982,5.292,4.172,3.442,8,1
73.0,294,28,24,60,2.024,5.528,4.348,3.686,6,1
74.0,279,28,23,56,1.924,5.529,4.329,3.739,8,1
75.0,273,27,21,52,2.092,4.838,3.876,3.485,8,1
76.0,266,27,22,56,2.093,6.333,4.937,3.92,6,2
77.0,281,25,20,53,2.112,6.744,5.237,3.828,7,2
78.0,260,26,21,54,1.752,6.235,4.807,3.618,8,2
79.0,293,29,24,58,2.094,6.685,5.191,4.191,7,1
80.0,246,25,20,48,2.146,5.417,4.295,3.644,4,1
81.0,278,28,22,57,2.122,5.508,4.355,4.103,6,1
82.0,264,27,24,54,2.202,6.303,4.937,4.082,5,1
83.0,278,25,24,56,2.133,5.273,4.191,3.753,7,1
84.0,307,26,22,56,1.861,5.397,4.222,3.741,10,3
85.0,274,28,26,58,2.141,5.589,4.416,4.077,11,3
86.0,320,27,24,59,1.888,6.018,4.673,3.86,9,3
87.0,260,25,20,49,2.006,4.282,3.469,3.245,6,1
88.0,327,30,23,61,1.919,4.201,3.391,3.102,7,1
