scFv,CLDN4,homologue,STRIVE_off,margin,fails_1p20_margin
scfv_0_2,0.347,CLDN15,0.864,0.402,True
scfv_0_2,0.347,CLDN6,0.758,0.458,True
scfv_0_2,0.347,CLDN9,0.71,0.489,True
scfv_0_2,0.347,CLDN3,0.544,0.637,True
scfv_0_2,0.347,CLDN24,0.524,0.662,True
scfv_0_2,0.347,CLDN22,0.498,0.697,True
scfv_0_2,0.347,CLDN11,0.488,0.71,True
scfv_0_2,0.347,CLDN16,0.485,0.715,True
scfv_0_2,0.347,CLDN25,0.46,0.755,True
scfv_0_2,0.347,CLDN18.2,0.428,0.811,True
scfv_0_2,0.347,CLDN19,0.413,0.841,True
scfv_0_2,0.347,CLDN17,0.363,0.955,True
scfv_0_2,0.347,CLDN10,0.36,0.965,True
scfv_0_2,0.347,CLDN12,0.351,0.987,True
scfv_0_2,0.347,CLDN7,0.337,1.029,True
scfv_0_2,0.347,CLDN18,0.332,1.045,True
scfv_0_2,0.347,CLDN34,0.322,1.078,True
scfv_0_2,0.347,CLDN2,0.317,1.095,True
scfv_0_2,0.347,CLDN14,0.312,1.113,True
scfv_0_2,0.347,CLDN8,0.305,1.136,True
scfv_0_2,0.347,CLDN1,0.268,1.294,False
scfv_0_2,0.347,CLDN20,0.249,1.393,False
scfv_0_2,0.347,CLDN23,0.228,1.524,False
scfv_0_2,0.347,CLDN5,0.129,2.684,False
scfv_0_4,0.196,CLDN20,0.846,0.232,True
scfv_0_4,0.196,CLDN6,0.782,0.251,True
scfv_0_4,0.196,CLDN19,0.729,0.269,True
scfv_0_4,0.196,CLDN3,0.66,0.297,True
scfv_0_4,0.196,CLDN11,0.585,0.335,True
scfv_0_4,0.196,CLDN7,0.575,0.341,True
scfv_0_4,0.196,CLDN18.2,0.574,0.342,True
scfv_0_4,0.196,CLDN1,0.528,0.372,True
scfv_0_4,0.196,CLDN16,0.513,0.383,True
scfv_0_4,0.196,CLDN15,0.499,0.393,True
scfv_0_4,0.196,CLDN17,0.437,0.449,True
scfv_0_4,0.196,CLDN34,0.416,0.471,True
scfv_0_4,0.196,CLDN10,0.387,0.508,True
scfv_0_4,0.196,CLDN22,0.373,0.525,True
scfv_0_4,0.196,CLDN24,0.373,0.526,True
scfv_0_4,0.196,CLDN25,0.367,0.535,True
scfv_0_4,0.196,CLDN12,0.364,0.539,True
scfv_0_4,0.196,CLDN9,0.353,0.556,True
scfv_0_4,0.196,CLDN2,0.345,0.568,True
scfv_0_4,0.196,CLDN18,0.336,0.584,True
scfv_0_4,0.196,CLDN14,0.331,0.593,True
scfv_0_4,0.196,CLDN8,0.322,0.61,True
scfv_0_4,0.196,CLDN23,0.293,0.67,True
scfv_0_4,0.196,CLDN5,0.146,1.347,False
scfv_0_8,0.23,CLDN2,0.762,0.302,True
scfv_0_8,0.23,CLDN6,0.718,0.321,True
scfv_0_8,0.23,CLDN20,0.678,0.34,True
scfv_0_8,0.23,CLDN16,0.489,0.471,True
scfv_0_8,0.23,CLDN17,0.404,0.57,True
scfv_0_8,0.23,CLDN12,0.38,0.607,True
scfv_0_8,0.23,CLDN34,0.367,0.628,True
scfv_0_8,0.23,CLDN15,0.366,0.629,True
scfv_0_8,0.23,CLDN25,0.361,0.639,True
scfv_0_8,0.23,CLDN24,0.348,0.661,True
scfv_0_8,0.23,CLDN22,0.33,0.698,True
scfv_0_8,0.23,CLDN1,0.305,0.755,True
scfv_0_8,0.23,CLDN18.2,0.294,0.783,True
scfv_0_8,0.23,CLDN9,0.285,0.807,True
scfv_0_8,0.23,CLDN19,0.281,0.819,True
scfv_0_8,0.23,CLDN10,0.274,0.84,True
scfv_0_8,0.23,CLDN18,0.262,0.878,True
scfv_0_8,0.23,CLDN7,0.23,1.003,True
scfv_0_8,0.23,CLDN8,0.217,1.063,True
scfv_0_8,0.23,CLDN3,0.195,1.178,True
scfv_0_8,0.23,CLDN11,0.184,1.25,False
scfv_0_8,0.23,CLDN23,0.179,1.289,False
scfv_0_8,0.23,CLDN14,0.173,1.328,False
scfv_0_8,0.23,CLDN5,0.139,1.656,False
scfv_23_7,0.471,CLDN14,0.829,0.568,True
scfv_23_7,0.471,CLDN10,0.707,0.666,True
scfv_23_7,0.471,CLDN11,0.683,0.69,True
scfv_23_7,0.471,CLDN15,0.604,0.779,True
scfv_23_7,0.471,CLDN17,0.554,0.85,True
scfv_23_7,0.471,CLDN7,0.546,0.862,True
scfv_23_7,0.471,CLDN5,0.469,1.004,True
scfv_23_7,0.471,CLDN16,0.465,1.013,True
scfv_23_7,0.471,CLDN24,0.443,1.062,True
scfv_23_7,0.471,CLDN34,0.441,1.067,True
scfv_23_7,0.471,CLDN6,0.435,1.083,True
scfv_23_7,0.471,CLDN22,0.434,1.084,True
scfv_23_7,0.471,CLDN20,0.41,1.148,True
scfv_23_7,0.471,CLDN25,0.409,1.152,True
scfv_23_7,0.471,CLDN18.2,0.402,1.172,True
scfv_23_7,0.471,CLDN8,0.398,1.184,True
scfv_23_7,0.471,CLDN18,0.384,1.228,False
scfv_23_7,0.471,CLDN12,0.349,1.348,False
scfv_23_7,0.471,CLDN2,0.317,1.485,False
scfv_23_7,0.471,CLDN19,0.313,1.506,False
scfv_23_7,0.471,CLDN3,0.312,1.51,False
scfv_23_7,0.471,CLDN9,0.28,1.679,False
scfv_23_7,0.471,CLDN1,0.265,1.778,False
scfv_23_7,0.471,CLDN23,0.115,4.079,False
scfv_25_2,0.625,CLDN8,0.793,0.787,True
scfv_25_2,0.625,CLDN10,0.781,0.799,True
scfv_25_2,0.625,CLDN17,0.642,0.973,True
scfv_25_2,0.625,CLDN1,0.63,0.991,True
scfv_25_2,0.625,CLDN5,0.589,1.06,True
scfv_25_2,0.625,CLDN9,0.531,1.177,True
scfv_25_2,0.625,CLDN6,0.521,1.199,True
scfv_25_2,0.625,CLDN34,0.465,1.342,False
scfv_25_2,0.625,CLDN2,0.43,1.452,False
scfv_25_2,0.625,CLDN7,0.384,1.626,False
scfv_25_2,0.625,CLDN22,0.354,1.765,False
scfv_25_2,0.625,CLDN15,0.351,1.78,False
scfv_25_2,0.625,CLDN25,0.349,1.789,False
scfv_25_2,0.625,CLDN24,0.348,1.794,False
scfv_25_2,0.625,CLDN18.2,0.323,1.935,False
scfv_25_2,0.625,CLDN12,0.321,1.945,False
scfv_25_2,0.625,CLDN3,0.303,2.061,False
scfv_25_2,0.625,CLDN18,0.299,2.087,False
scfv_25_2,0.625,CLDN11,0.266,2.351,False
scfv_25_2,0.625,CLDN14,0.265,2.361,False
scfv_25_2,0.625,CLDN16,0.26,2.402,False
scfv_25_2,0.625,CLDN23,0.256,2.44,False
scfv_25_2,0.625,CLDN19,0.194,3.218,False
scfv_25_2,0.625,CLDN20,0.173,3.619,False
scfv_25_4,0.397,CLDN6,0.816,0.487,True
scfv_25_4,0.397,CLDN9,0.782,0.508,True
scfv_25_4,0.397,CLDN34,0.78,0.509,True
scfv_25_4,0.397,CLDN12,0.741,0.536,True
scfv_25_4,0.397,CLDN8,0.701,0.567,True
scfv_25_4,0.397,CLDN5,0.538,0.737,True
scfv_25_4,0.397,CLDN15,0.512,0.776,True
scfv_25_4,0.397,CLDN2,0.48,0.826,True
scfv_25_4,0.397,CLDN14,0.447,0.888,True
scfv_25_4,0.397,CLDN23,0.443,0.897,True
scfv_25_4,0.397,CLDN3,0.371,1.069,True
scfv_25_4,0.397,CLDN20,0.368,1.078,True
scfv_25_4,0.397,CLDN22,0.343,1.158,True
scfv_25_4,0.397,CLDN16,0.332,1.196,True
scfv_25_4,0.397,CLDN10,0.296,1.34,False
scfv_25_4,0.397,CLDN1,0.295,1.343,False
scfv_25_4,0.397,CLDN17,0.289,1.376,False
scfv_25_4,0.397,CLDN19,0.278,1.426,False
scfv_25_4,0.397,CLDN24,0.255,1.558,False
scfv_25_4,0.397,CLDN18,0.251,1.581,False
scfv_25_4,0.397,CLDN7,0.23,1.727,False
scfv_25_4,0.397,CLDN11,0.146,2.725,False
scfv_25_4,0.397,CLDN18.2,0.138,2.875,False
scfv_25_4,0.397,CLDN25,0.136,2.92,False
scfv_37_1,0.303,CLDN6,0.753,0.402,True
scfv_37_1,0.303,CLDN17,0.749,0.404,True
scfv_37_1,0.303,CLDN9,0.745,0.406,True
scfv_37_1,0.303,CLDN18.2,0.684,0.443,True
scfv_37_1,0.303,CLDN8,0.677,0.448,True
scfv_37_1,0.303,CLDN14,0.671,0.452,True
scfv_37_1,0.303,CLDN3,0.56,0.54,True
scfv_37_1,0.303,CLDN24,0.55,0.551,True
scfv_37_1,0.303,CLDN22,0.515,0.588,True
scfv_37_1,0.303,CLDN25,0.497,0.609,True
scfv_37_1,0.303,CLDN12,0.492,0.616,True
scfv_37_1,0.303,CLDN7,0.485,0.624,True
scfv_37_1,0.303,CLDN10,0.468,0.647,True
scfv_37_1,0.303,CLDN15,0.422,0.718,True
scfv_37_1,0.303,CLDN1,0.395,0.767,True
scfv_37_1,0.303,CLDN11,0.389,0.779,True
scfv_37_1,0.303,CLDN2,0.369,0.821,True
scfv_37_1,0.303,CLDN5,0.366,0.828,True
scfv_37_1,0.303,CLDN16,0.358,0.846,True
scfv_37_1,0.303,CLDN18,0.345,0.879,True
scfv_37_1,0.303,CLDN23,0.273,1.109,True
scfv_37_1,0.303,CLDN20,0.256,1.181,True
scfv_37_1,0.303,CLDN34,0.23,1.315,False
scfv_37_1,0.303,CLDN19,0.23,1.315,False
scfv_39_0,0.35,CLDN20,0.821,0.427,True
scfv_39_0,0.35,CLDN25,0.795,0.44,True
scfv_39_0,0.35,CLDN34,0.653,0.536,True
scfv_39_0,0.35,CLDN12,0.547,0.64,True
scfv_39_0,0.35,CLDN2,0.53,0.661,True
scfv_39_0,0.35,CLDN24,0.525,0.667,True
scfv_39_0,0.35,CLDN19,0.509,0.688,True
scfv_39_0,0.35,CLDN22,0.498,0.703,True
scfv_39_0,0.35,CLDN1,0.495,0.708,True
scfv_39_0,0.35,CLDN8,0.488,0.718,True
scfv_39_0,0.35,CLDN17,0.484,0.724,True
scfv_39_0,0.35,CLDN11,0.476,0.736,True
scfv_39_0,0.35,CLDN15,0.429,0.816,True
scfv_39_0,0.35,CLDN9,0.42,0.835,True
scfv_39_0,0.35,CLDN6,0.405,0.864,True
scfv_39_0,0.35,CLDN3,0.395,0.886,True
scfv_39_0,0.35,CLDN16,0.392,0.892,True
scfv_39_0,0.35,CLDN18,0.379,0.923,True
scfv_39_0,0.35,CLDN5,0.376,0.931,True
scfv_39_0,0.35,CLDN10,0.373,0.938,True
scfv_39_0,0.35,CLDN18.2,0.366,0.956,True
scfv_39_0,0.35,CLDN23,0.358,0.979,True
scfv_39_0,0.35,CLDN7,0.317,1.106,True
scfv_39_0,0.35,CLDN14,0.308,1.139,True
scfv_39_1,0.743,CLDN34,0.877,0.847,True
scfv_39_1,0.743,CLDN19,0.793,0.937,True
scfv_39_1,0.743,CLDN7,0.722,1.03,True
scfv_39_1,0.743,CLDN20,0.677,1.097,True
scfv_39_1,0.743,CLDN5,0.652,1.14,True
scfv_39_1,0.743,CLDN14,0.613,1.213,False
scfv_39_1,0.743,CLDN12,0.511,1.455,False
scfv_39_1,0.743,CLDN8,0.48,1.547,False
scfv_39_1,0.743,CLDN17,0.457,1.627,False
scfv_39_1,0.743,CLDN11,0.437,1.702,False
scfv_39_1,0.743,CLDN3,0.424,1.753,False
scfv_39_1,0.743,CLDN1,0.418,1.776,False
scfv_39_1,0.743,CLDN18,0.416,1.786,False
scfv_39_1,0.743,CLDN10,0.412,1.802,False
scfv_39_1,0.743,CLDN18.2,0.412,1.802,False
scfv_39_1,0.743,CLDN16,0.397,1.871,False
scfv_39_1,0.743,CLDN9,0.397,1.871,False
scfv_39_1,0.743,CLDN23,0.389,1.909,False
scfv_39_1,0.743,CLDN25,0.377,1.97,False
scfv_39_1,0.743,CLDN22,0.374,1.988,False
scfv_39_1,0.743,CLDN6,0.372,1.998,False
scfv_39_1,0.743,CLDN24,0.353,2.105,False
scfv_39_1,0.743,CLDN2,0.295,2.52,False
scfv_39_1,0.743,CLDN15,0.276,2.697,False
scfv_39_2,0.571,CLDN19,0.798,0.715,True
scfv_39_2,0.571,CLDN5,0.785,0.727,True
scfv_39_2,0.571,CLDN2,0.752,0.759,True
scfv_39_2,0.571,CLDN25,0.714,0.8,True
