sample,_study,detailed_category,_sample_type,primary disease or tissue,CLDN4
GTEX-S4Q7-0003-SM-3NM8M,GTEX,Cells - Ebv-Transformed Lymphocytes,Cell Line,Cells - Ebv-Transformed Lymphocytes,-3.308
TCGA-19-1787-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-0.0425
TCGA-S9-A7J2-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-3.458
GTEX-QV31-1626-SM-2S1QC,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.552
TCGA-G3-A3CH-11,TCGA,Liver Hepatocellular Carcinoma,Solid Tissue Normal,Liver Hepatocellular Carcinoma,0.8805
TCGA-B5-A5OE-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,9.078
GTEX-13QIC-0011-R1a-SM-5O9CJ,GTEX,Brain - Hippocampus,Normal Tissue,Brain - Hippocampus,-2.315
TCGA-B2-5641-11,TCGA,Kidney Clear Cell Carcinoma,Solid Tissue Normal,Kidney Clear Cell Carcinoma,6.999
GTEX-ZPCL-0126-SM-4WWC8,GTEX,Thyroid,Normal Tissue,Thyroid,7.043
TARGET-20-PANGDN-09,TARGET,Acute Myeloid Leukemia,Primary Blood Derived Cancer - Bone Marrow,Acute Myeloid Leukemia,-5.012
GTEX-S33H-1226-SM-4AD69,GTEX,Pancreas,Normal Tissue,Pancreas,5.541
GTEX-X88G-0426-SM-47JZ5,GTEX,Artery - Tibial,Normal Tissue,Artery - Tibial,-1.248
TCGA-C8-A1HL-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.293
TCGA-EW-A2FS-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,6.839
GTEX-ZAKK-0326-SM-5EGHA,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-1.685
GTEX-1399S-1726-SM-5L3DI,GTEX,Lung,Normal Tissue,Lung,7.19
GTEX-ZF29-0926-SM-4WKFZ,GTEX,Skin - Not Sun Exposed (Suprapubic),Normal Tissue,Skin - Not Sun Exposed (Suprapubic),7.126
TCGA-IR-A3L7-01,TCGA,Cervical & Endocervical Cancer,Primary Tumor,Cervical & Endocervical Cancer,7.636
TCGA-05-4420-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.345
TCGA-91-6840-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,8.257
GTEX-13W3W-2626-SM-5SIA2,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-3.458
GTEX-WQUQ-2526-SM-4MVNO,GTEX,Colon - Transverse,Normal Tissue,Colon - Transverse,6.32
TCGA-R6-A8WC-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,8.343
GTEX-P44H-0526-SM-2XCF1,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-0.8599
TCGA-B6-A402-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,9.151
TCGA-DX-A3U8-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,-1.552
TCGA-GL-8500-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,7.503
TCGA-D5-6929-01,TCGA,Colon Adenocarcinoma,Primary Tumor,Colon Adenocarcinoma,9.01
GTEX-11ONC-2326-SM-5HL6P,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,0.0854
GTEX-TSE9-0126-SM-3DB83,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),6.845
GTEX-R55F-0226-SM-48FCI,GTEX,Nerve - Tibial,Normal Tissue,Nerve - Tibial,-0.8339
TCGA-EJ-7125-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,8.866
GTEX-13O3P-0226-SM-5KM3Z,GTEX,Adipose - Subcutaneous,Normal Tissue,Adipose - Subcutaneous,-1.392
TCGA-L5-A4OH-01,TCGA,Esophageal Carcinoma,Primary Tumor,Esophageal Carcinoma,10.57
GTEX-VJYA-0005-SM-3P5ZD,GTEX,Whole Blood,Normal Tissue,Whole Blood,-3.047
TCGA-AX-A3G6-01,TCGA,Uterine Corpus Endometrioid Carcinoma,Primary Tumor,Uterine Corpus Endometrioid Carcinoma,9.901
GTEX-PWCY-1326-SM-48TCU,GTEX,Ovary,Normal Tissue,Ovary,-1.214
GTEX-POMQ-0006-SM-5SI7D,GTEX,Whole Blood,Normal Tissue,Whole Blood,-5.012
TCGA-B9-A8YH-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,9.139
GTEX-Y9LG-0426-SM-4VBRT,GTEX,Thyroid,Normal Tissue,Thyroid,7.839
TCGA-E1-A7YI-01,TCGA,Brain Lower Grade Glioma,Primary Tumor,Brain Lower Grade Glioma,-3.308
TCGA-PC-A5DM-01,TCGA,Sarcoma,Primary Tumor,Sarcoma,-0.7108
TCGA-BR-A4QL-01,TCGA,Stomach Adenocarcinoma,Primary Tumor,Stomach Adenocarcinoma,7.379
GTEX-147F4-1226-SM-5NQAY,GTEX,Heart - Left Ventricle,Normal Tissue,Heart - Left Ventricle,-3.171
TCGA-A2-A3XX-01,TCGA,Breast Invasive Carcinoma,Primary Tumor,Breast Invasive Carcinoma,9.691
GTEX-QXCU-0626-SM-2TC69,GTEX,Lung,Normal Tissue,Lung,6.572
TCGA-DQ-5624-01,TCGA,Head & Neck Squamous Cell Carcinoma,Primary Tumor,Head & Neck Squamous Cell Carcinoma,8.141
TCGA-KK-A7B3-01,TCGA,Prostate Adenocarcinoma,Primary Tumor,Prostate Adenocarcinoma,6.958
GTEX-1269C-2626-SM-5EQ5C,GTEX,Muscle - Skeletal,Normal Tissue,Muscle - Skeletal,-2.727
GTEX-12WSK-2326-SM-5GCOH,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),8.134
TCGA-06-5412-01,TCGA,Glioblastoma Multiforme,Primary Tumor,Glioblastoma Multiforme,-2.178
GTEX-P4PQ-0126-SM-2S1NM,GTEX,Skin - Sun Exposed (Lower Leg),Normal Tissue,Skin - Sun Exposed (Lower Leg),7.723
TCGA-SX-A7SM-01,TCGA,Kidney Papillary Cell Carcinoma,Primary Tumor,Kidney Papillary Cell Carcinoma,7.196
TCGA-BP-4765-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,6.385
GTEX-ZA64-1526-SM-5CVMD,GTEX,Breast - Mammary Tissue,Normal Tissue,Breast - Mammary Tissue,-0.7834
TCGA-CZ-5459-01,TCGA,Kidney Clear Cell Carcinoma,Primary Tumor,Kidney Clear Cell Carcinoma,5.833
TCGA-44-6778-01,TCGA,Lung Adenocarcinoma,Primary Tumor,Lung Adenocarcinoma,6.458
TCGA-56-8305-01,TCGA,Lung Squamous Cell Carcinoma,Primary Tumor,Lung Squamous Cell Carcinoma,6.348
GTEX-1122O-0426-SM-5H12G,GTEX,Artery - Coronary,Normal Tissue,Artery - Coronary,-0.9971
TCGA-CZ-5468-11,TCGA,Kidney Clear Cell Carcinoma,Solid Tissue Normal,Kidney Clear Cell Carcinoma,8.572
TCGA-BH-A0BQ-11,TCGA,Breast Invasive Carcinoma,Solid Tissue Normal,Breast Invasive Carcinoma,7.55
