Structure	Affinity_kcal-mol
scfv_0_2_cldn4_model_model0	 -11.493
scfv_0_4_cldn4_model_model0	  -8.286
scfv_0_8_cldn4_model_model0	  -8.972
scfv_23_7_cldn4_model_model0	 -10.585
scfv_25_2_cldn4_model_model0	 -10.453
scfv_25_4_cldn4_model_model0	  -9.523
scfv_37_1_cldn4_model_model0	  -9.939
scfv_39_0_cldn4_model_model0	 -12.204
scfv_39_1_cldn4_model_model0	 -13.468
scfv_39_2_cldn4_model_model0	 -12.173
scfv_39_3_cldn4_model_model0	 -12.942
scfv_39_5_cldn4_model_model0	 -14.171
scfv_48_1_cldn4_model_model0	 -13.259
scfv_48_2_cldn4_model_model0	 -11.933
scfv_50_2_cldn4_model_model0	  -9.965
scfv_55_6_cldn4_model_model0	 -13.480
scfv_55_9_cldn4_model_model0	 -11.334
scfv_66_2_cldn4_model_model0	  -8.892
scfv_66_6_cldn4_model_model0	  -8.004
scfv_66_8_cldn4_model_model0	  -9.363
scfv_73_0_cldn4_model_model0	 -11.706
scfv_73_2_cldn4_model_model0	 -11.091
scfv_73_5_cldn4_model_model0	 -10.448
scfv_73_9_cldn4_model_model0	  -8.590
scfv_77_1_cldn4_model_model0	  -9.417
scfv_77_6_cldn4_model_model0	 -12.997
scfv_7_9_cldn4_model_model0	 -10.729
scfv_83_1_cldn4_model_model0	  -8.588
scfv_83_2_cldn4_model_model0	  -9.873
scfv_85_8_cldn4_model_model0	  -7.165
scfv_86_0_cldn4_model_model0	 -10.328
scfv_86_1_cldn4_model_model0	 -10.390
scfv_86_2_cldn4_model_model0	 -10.272
scfv_86_5_cldn4_model_model0	 -10.540
scfv_86_8_cldn4_model_model0	  -9.129
scfv_88_1_cldn4_model_model0	  -9.803
scfv_93_7_cldn4_model_model0	 -14.154
scfv_94_1_cldn4_model_model0	  -9.088
scfv_94_7_cldn4_model_model0	 -10.819
