Structure	Affinity_kcal-mol
scfv_0_2_vs_cld10_human_model_model0	 -12.640
scfv_0_2_vs_cld11_human_model_model0	 -10.213
scfv_0_2_vs_cld12_human_model_model0	 -11.580
scfv_0_2_vs_cld14_human_model_model0	 -10.677
scfv_0_2_vs_cld15_human_model_model0	 -16.405
scfv_0_2_vs_cld16_human_model_model0	 -14.291
scfv_0_2_vs_cld17_human_model_model0	 -10.973
scfv_0_2_vs_cld182_human_model_model0	  -8.441
scfv_0_2_vs_cld18_human_model_model0	 -10.879
scfv_0_2_vs_cld19_human_model_model0	 -10.446
scfv_0_2_vs_cld1_human_model_model0	  -9.425
scfv_0_2_vs_cld20_human_model_model0	  -8.712
scfv_0_2_vs_cld22_human_model_model0	 -12.267
scfv_0_2_vs_cld23_human_model_model0	  -8.820
scfv_0_2_vs_cld24_human_model_model0	 -11.919
scfv_0_2_vs_cld25_human_model_model0	 -12.787
scfv_0_2_vs_cld2_human_model_model0	 -10.686
scfv_0_2_vs_cld34_human_model_model0	 -11.151
scfv_0_2_vs_cld3_human_model_model0	  -7.171
scfv_0_2_vs_cld5_human_model_model0	  -6.722
scfv_0_2_vs_cld6_human_model_model0	  -9.638
scfv_0_2_vs_cld7_human_model_model0	 -11.041
scfv_0_2_vs_cld8_human_model_model0	  -9.643
scfv_0_2_vs_cld9_human_model_model0	  -9.765
scfv_0_4_vs_cld10_human_model_model0	 -13.540
scfv_0_4_vs_cld11_human_model_model0	  -8.697
scfv_0_4_vs_cld12_human_model_model0	 -13.328
scfv_0_4_vs_cld14_human_model_model0	 -11.392
scfv_0_4_vs_cld15_human_model_model0	 -11.870
scfv_0_4_vs_cld16_human_model_model0	 -15.956
scfv_0_4_vs_cld17_human_model_model0	 -11.515
scfv_0_4_vs_cld182_human_model_model0	  -7.725
scfv_0_4_vs_cld18_human_model_model0	 -11.376
scfv_0_4_vs_cld19_human_model_model0	  -9.913
scfv_0_4_vs_cld1_human_model_model0	 -10.327
scfv_0_4_vs_cld20_human_model_model0	 -12.515
scfv_0_4_vs_cld22_human_model_model0	 -12.783
scfv_0_4_vs_cld23_human_model_model0	 -10.340
scfv_0_4_vs_cld24_human_model_model0	 -11.764
scfv_0_4_vs_cld25_human_model_model0	 -11.178
scfv_0_4_vs_cld2_human_model_model0	 -11.770
scfv_0_4_vs_cld34_human_model_model0	 -11.783
scfv_0_4_vs_cld3_human_model_model0	  -8.639
scfv_0_4_vs_cld5_human_model_model0	  -7.580
scfv_0_4_vs_cld6_human_model_model0	 -10.407
scfv_0_4_vs_cld7_human_model_model0	 -11.065
scfv_0_4_vs_cld8_human_model_model0	 -10.111
scfv_0_4_vs_cld9_human_model_model0	 -11.979
scfv_0_8_vs_cld10_human_model_model0	  -9.738
scfv_0_8_vs_cld11_human_model_model0	  -7.759
scfv_0_8_vs_cld12_human_model_model0	 -12.796
scfv_0_8_vs_cld14_human_model_model0	  -8.180
scfv_0_8_vs_cld15_human_model_model0	 -11.670
scfv_0_8_vs_cld16_human_model_model0	 -12.126
scfv_0_8_vs_cld17_human_model_model0	 -11.167
scfv_0_8_vs_cld182_human_model_model0	 -10.241
scfv_0_8_vs_cld18_human_model_model0	  -9.580
scfv_0_8_vs_cld19_human_model_model0	  -9.631
scfv_0_8_vs_cld1_human_model_model0	  -8.586
scfv_0_8_vs_cld20_human_model_model0	 -11.812
scfv_0_8_vs_cld22_human_model_model0	 -11.023
scfv_0_8_vs_cld23_human_model_model0	  -7.466
