pTM,Has_Clash,Fraction_Disordered,Ranking_Score,Matrix_iPTM,Matrix_PAE,Sample_ID,Raw_Folder,Sample_ID_normalized,Affinity_dG,Scientific_Score
0.84,0.0,0.0,0.81,0.74,2.15,scfv_48_1_cldn4,scfv_48_1_cldn4,scfv_48_1_cldn4,-13.259,0.8765151553249788
0.83,0.0,0.0,0.8,0.725,2.04,scfv_55_6_cldn4,scfv_55_6_cldn4,scfv_55_6_cldn4,-13.48,0.8701983984195393
0.82,0.0,0.0,0.78,0.7,2.07,scfv_73_0_cldn4,scfv_73_0_cldn4,scfv_73_0_cldn4,-11.706,0.8463449408058364
0.78,0.0,0.0,0.73,0.575,4.74,scfv_93_7_cldn4,scfv_93_7_cldn4,scfv_93_7_cldn4,-14.154,0.8065642300109965
0.73,0.0,0.0,0.67,0.45999999999999996,5.31,scfv_39_1_cldn4,scfv_39_1_cldn4,scfv_39_1_cldn4,-13.468,0.7430935316484976
0.58,0.0,0.0,0.47,0.28500000000000003,4.89,scfv_25_2_cldn4,scfv_25_2_cldn4,scfv_25_2_cldn4,-10.453,0.6246149268923116
0.66,0.0,0.0,0.57,0.32,7.11,scfv_55_9_cldn4,scfv_55_9_cldn4,scfv_55_9_cldn4,-11.334,0.5965563650185544
0.66,0.0,0.0,0.58,0.31,8.06,scfv_39_2_cldn4,scfv_39_2_cldn4,scfv_39_2_cldn4,-12.173,0.5706656559939265
0.66,0.0,0.0,0.57,0.42,6.98,scfv_77_1_cldn4,scfv_77_1_cldn4,scfv_77_1_cldn4,-9.417,0.5639770027406064
0.66,0.0,0.0,0.57,0.31999999999999995,8.91,scfv_77_6_cldn4,scfv_77_6_cldn4,scfv_77_6_cldn4,-12.997,0.549847324163431
0.64,0.0,0.0,0.55,0.255,8.4,scfv_39_5_cldn4,scfv_39_5_cldn4,scfv_39_5_cldn4,-14.171,0.5431597237110034
0.66,0.0,0.0,0.57,0.295,9.05,scfv_39_3_cldn4,scfv_39_3_cldn4,scfv_39_3_cldn4,-12.942,0.5345971911631598
0.67,0.0,0.0,0.58,0.29,7.86,scfv_50_2_cldn4,scfv_50_2_cldn4,scfv_50_2_cldn4,-9.965,0.5118875855498475
0.59,0.0,0.0,0.49,0.15,7.96,scfv_23_7_cldn4,scfv_23_7_cldn4,scfv_23_7_cldn4,-10.585,0.4707635829768827
0.63,0.0,0.0,0.53,0.35,7.41,scfv_85_8_cldn4,scfv_85_8_cldn4,scfv_85_8_cldn4,-7.165,0.40133949832894544
0.57,0.0,0.0,0.46,0.165,7.0,scfv_83_1_cldn4,scfv_83_1_cldn4,scfv_83_1_cldn4,-8.588,0.40117959251298596
0.57,0.0,0.0,0.46,0.14500000000000002,8.5,scfv_25_4_cldn4,scfv_25_4_cldn4,scfv_25_4_cldn4,-9.523,0.39696224966086563
0.59,0.0,0.0,0.49,0.16,10.07,scfv_73_5_cldn4,scfv_73_5_cldn4,scfv_73_5_cldn4,-10.448,0.39435118172630385
0.61,0.0,0.0,0.51,0.17,12.42,scfv_48_2_cldn4,scfv_48_2_cldn4,scfv_48_2_cldn4,-11.933,0.3663634607700113
0.6,0.0,0.0,0.51,0.17,11.85,scfv_73_2_cldn4,scfv_73_2_cldn4,scfv_73_2_cldn4,-11.091,0.35586347886989234
0.58,0.0,0.0,0.48,0.13,12.47,scfv_39_0_cldn4,scfv_39_0_cldn4,scfv_39_0_cldn4,-12.204,0.3502461317793696
0.58,0.0,0.0,0.47,0.14500000000000002,14.54,scfv_0_2_cldn4,scfv_0_2_cldn4,scfv_0_2_cldn4,-11.493,0.3469124086695279
0.6,0.0,0.0,0.5,0.155,15.56,scfv_7_9_cldn4,scfv_7_9_cldn4,scfv_7_9_cldn4,-10.729,0.33432111614873755
0.58,0.0,0.0,0.48,0.14,13.94,scfv_86_5_cldn4,scfv_86_5_cldn4,scfv_86_5_cldn4,-10.54,0.3198661813052208
0.57,0.0,0.0,0.47,0.11499999999999999,19.39,scfv_94_7_cldn4,scfv_94_7_cldn4,scfv_94_7_cldn4,-10.819,0.3181115229249108
0.59,0.0,0.0,0.49,0.19,12.41,scfv_83_2_cldn4,scfv_83_2_cldn4,scfv_83_2_cldn4,-9.873,0.31134238798335656
0.57,0.0,0.0,0.47,0.135,14.19,scfv_86_0_cldn4,scfv_86_0_cldn4,scfv_86_0_cldn4,-10.328,0.30862740472530525
0.58,0.0,0.0,0.48,0.125,19.08,scfv_86_1_cldn4,scfv_86_1_cldn4,scfv_86_1_cldn4,-10.39,0.3081480607878329
0.59,0.0,0.0,0.48,0.14500000000000002,11.83,scfv_37_1_cldn4,scfv_37_1_cldn4,scfv_37_1_cldn4,-9.939,0.30279583302800245
0.58,0.0,0.0,0.48,0.12,17.21,scfv_86_2_cldn4,scfv_86_2_cldn4,scfv_86_2_cldn4,-10.272,0.3012712306727211
0.57,0.0,0.0,0.47,0.165,17.71,scfv_88_1_cldn4,scfv_88_1_cldn4,scfv_88_1_cldn4,-9.803,0.295653961052074
0.58,0.0,0.0,0.47,0.135,12.12,scfv_66_8_cldn4,scfv_66_8_cldn4,scfv_66_8_cldn4,-9.363,0.2594416137454507
0.59,0.0,0.0,0.49,0.15000000000000002,13.2,scfv_94_1_cldn4,scfv_94_1_cldn4,scfv_94_1_cldn4,-9.088,0.24949645341311816
0.59,0.0,0.0,0.49,0.15,13.78,scfv_66_2_cldn4,scfv_66_2_cldn4,scfv_66_2_cldn4,-8.892,0.23725655335627133
0.56,0.0,0.0,0.45,0.11,15.47,scfv_86_8_cldn4,scfv_86_8_cldn4,scfv_86_8_cldn4,-9.129,0.23305133790260332
0.57,0.0,0.0,0.45,0.125,14.35,scfv_0_8_cldn4,scfv_0_8_cldn4,scfv_0_8_cldn4,-8.972,0.2302501143243703
0.57,0.0,0.0,0.46,0.11499999999999999,15.74,scfv_73_9_cldn4,scfv_73_9_cldn4,scfv_73_9_cldn4,-8.59,0.20272803028790753
0.58,0.0,0.0,0.47,0.14,13.94,scfv_0_4_cldn4,scfv_0_4_cldn4,scfv_0_4_cldn4,-8.286,0.196178897404386
0.6,0.0,0.0,0.5,0.16,13.67,scfv_66_6_cldn4,scfv_66_6_cldn4,scfv_66_6_cldn4,-8.004,0.19143214889670457
