pair,seed,iptm_AbAg,pae_interface,ptm,fraction_disordered,has_clash,phi_PAE,penalty,STRIVE_struct,STRIVE_struct_scaled
ab_0_cld1_human,10,0.15,14.44,0.55,0.06,0.0,0.0,0.0,0.115,0.1533
ab_0_cld1_human,42,0.13,12.14,0.55,0.06,0.0,0.0,0.0,0.107,0.1427
ab_17_cld15_human,10,0.645,3.59,0.63,0.09,0.0,1.0,0.0,0.571,0.7613
ab_17_cld15_human,42,0.585,5.01,0.6,0.09,0.0,0.9986,0.0,0.5436,0.7249
ab_1_cld8_human,10,0.68,2.52,0.75,0.07,0.0,1.0,0.0,0.597,0.796
ab_1_cld8_human,42,0.71,2.37,0.77,0.07,0.0,1.0,0.0,0.611,0.8147
ab_3_cld2_human,10,0.23,10.53,0.56,0.08,0.0,0.21,0.0,0.2005,0.2673
ab_3_cld2_human,42,0.27,9.56,0.56,0.08,0.0,0.3486,0.0,0.2511,0.3349
ab_4_cld24_human,10,0.14,22.86,0.51,0.06,0.0,0.0,0.0,0.107,0.1427
ab_4_cld24_human,42,0.12,21.83,0.51,0.06,0.0,0.0,0.0,0.099,0.132
