Structure	Affinity_kcal-mol
eclutatug_vs_cld10_model_model0	 -10.154
eclutatug_vs_cld11_model_model0	  -8.076
eclutatug_vs_cld12_model_model0	 -10.461
eclutatug_vs_cld14_model_model0	 -11.280
eclutatug_vs_cld15_model_model0	 -10.363
eclutatug_vs_cld16_model_model0	 -12.283
eclutatug_vs_cld17_model_model0	 -12.024
eclutatug_vs_cld18_2_model_model0	  -9.098
eclutatug_vs_cld18_model_model0	  -8.564
eclutatug_vs_cld19_model_model0	 -11.851
eclutatug_vs_cld1_model_model0	 -12.867
eclutatug_vs_cld20_model_model0	  -9.094
eclutatug_vs_cld22_model_model0	 -11.662
eclutatug_vs_cld23_model_model0	 -11.326
eclutatug_vs_cld24_model_model0	 -11.313
eclutatug_vs_cld25_model_model0	 -11.224
eclutatug_vs_cld2_model_model0	 -13.362
eclutatug_vs_cld34_model_model0	  -7.718
eclutatug_vs_cld3_model_model0	 -11.394
eclutatug_vs_cld4_model_model0	 -12.779
eclutatug_vs_cld5_model_model0	  -9.252
eclutatug_vs_cld6_model_model0	 -11.685
eclutatug_vs_cld7_model_model0	 -11.953
eclutatug_vs_cld8_model_model0	 -10.994
eclutatug_vs_cld9_model_model0	 -11.360
garetatug_vs_cld10_model_model0	 -13.867
garetatug_vs_cld11_model_model0	  -9.558
garetatug_vs_cld12_model_model0	 -10.997
garetatug_vs_cld14_model_model0	  -9.594
garetatug_vs_cld15_model_model0	 -15.672
garetatug_vs_cld16_model_model0	  -9.747
garetatug_vs_cld17_model_model0	 -10.372
garetatug_vs_cld18_2_model_model0	 -12.281
garetatug_vs_cld18_model_model0	  -8.272
garetatug_vs_cld19_model_model0	 -10.312
garetatug_vs_cld1_model_model0	 -12.790
garetatug_vs_cld20_model_model0	 -11.221
garetatug_vs_cld22_model_model0	 -11.097
garetatug_vs_cld23_model_model0	 -10.154
garetatug_vs_cld24_model_model0	 -12.173
garetatug_vs_cld25_model_model0	  -9.997
garetatug_vs_cld2_model_model0	 -11.621
garetatug_vs_cld34_model_model0	  -9.677
garetatug_vs_cld3_model_model0	 -12.080
garetatug_vs_cld4_model_model0	 -11.384
garetatug_vs_cld5_model_model0	 -10.687
garetatug_vs_cld6_model_model0	 -11.039
garetatug_vs_cld7_model_model0	  -9.084
garetatug_vs_cld8_model_model0	 -11.346
garetatug_vs_cld9_model_model0	 -10.255
gresonitamab_vs_cld10_model_model0	 -11.285
gresonitamab_vs_cld11_model_model0	  -9.031
gresonitamab_vs_cld12_model_model0	 -11.698
gresonitamab_vs_cld14_model_model0	 -10.894
gresonitamab_vs_cld15_model_model0	 -13.017
gresonitamab_vs_cld16_model_model0	 -11.406
gresonitamab_vs_cld17_model_model0	  -9.662
gresonitamab_vs_cld18_2_model_model0	 -11.820
gresonitamab_vs_cld18_model_model0	 -11.375
gresonitamab_vs_cld19_model_model0	  -8.184
gresonitamab_vs_cld1_model_model0	 -10.716
gresonitamab_vs_cld20_model_model0	 -14.730
gresonitamab_vs_cld22_model_model0	  -8.620
gresonitamab_vs_cld23_model_model0	 -14.717
gresonitamab_vs_cld24_model_model0	  -9.239
gresonitamab_vs_cld25_model_model0	  -9.240
gresonitamab_vs_cld2_model_model0	 -10.343
gresonitamab_vs_cld34_model_model0	 -11.760
gresonitamab_vs_cld3_model_model0	 -11.342
gresonitamab_vs_cld4_model_model0	  -8.598
gresonitamab_vs_cld5_model_model0	  -9.815
gresonitamab_vs_cld6_model_model0	 -10.241
gresonitamab_vs_cld7_model_model0	 -10.571
gresonitamab_vs_cld8_model_model0	 -10.136
gresonitamab_vs_cld9_model_model0	  -8.876
ixotatug_vs_cld10_model_model0	 -11.823
ixotatug_vs_cld11_model_model0	  -8.848
ixotatug_vs_cld12_model_model0	  -8.211
ixotatug_vs_cld14_model_model0	 -10.939
ixotatug_vs_cld15_model_model0	 -11.900
ixotatug_vs_cld16_model_model0	  -9.533
