pTM,Has_Clash,Fraction_Disordered,Ranking_Score,Matrix_iPTM,Matrix_PAE,Sample_ID,JSON_Path,Affinity_dG,Scientific_Score,MAb,Target
0.72,0,0.15,0.89,0.81,1.36,garetatug_vs_cld18_2,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/garetatug_offtarget_af3_output/garetatug_vs_CLD18_2/garetatug_vs_cld18_2/garetatug_vs_cld18_2_summary_confidences.json,-12.281,0.8869428040205607,garetatug,cld18_2
0.71,0,0.14,0.87,0.795,1.7,omectatug_vs_cld18_2,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD18_2/omectatug_vs_cld18_2/omectatug_vs_cld18_2_summary_confidences.json,-10.393,0.839267686050354,omectatug,cld18_2
0.73,0,0.06,0.7,0.615,3.93,zolbetuximab_vs_cld5,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD5/zolbetuximab_vs_cld5/zolbetuximab_vs_cld5_summary_confidences.json,-11.807,0.8047632302108344,zolbetuximab,cld5
0.69,0,0.08,0.67,0.58,3.67,gresonitamab_vs_cld3,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD3/gresonitamab_vs_cld3/gresonitamab_vs_cld3_summary_confidences.json,-11.342,0.7790740602000213,gresonitamab,cld3
0.69,0,0.08,0.66,0.5,5.52,ixotatug_vs_cld25,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/ixotatug_offtarget_af3_output/ixotatug_vs_CLD25/ixotatug_vs_cld25/ixotatug_vs_cld25_summary_confidences.json,-11.93,0.7377559901957588,ixotatug,cld25
0.71,0,0.07,0.75,0.675,2.41,osemitamab_vs_cld9,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD9/osemitamab_vs_cld9/osemitamab_vs_cld9_summary_confidences.json,-9.308,0.7350992522256888,osemitamab,cld9
0.65,0,0.11,0.65,0.555,2.6,osemitamab_vs_cld14,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD14/osemitamab_vs_cld14/osemitamab_vs_cld14_summary_confidences.json,-10.229,0.7304108757394703,osemitamab,cld14
0.74,0,0.06,0.76,0.7,2.35,tecotabart_vs_cld5,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD5/tecotabart_vs_cld5/tecotabart_vs_cld5_summary_confidences.json,-8.964,0.7267502429685113,tecotabart,cld5
0.69,0,0.05,0.65,0.5700000000000001,2.43,osemitamab_vs_cld4,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD4/osemitamab_vs_cld4/osemitamab_vs_cld4_summary_confidences.json,-9.933,0.7264208809743756,osemitamab,cld4
0.75,0,0.07,0.81,0.755,1.83,tecotabart_vs_cld17,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD17/tecotabart_vs_cld17/tecotabart_vs_cld17_summary_confidences.json,-8.494,0.7210329215026052,tecotabart,cld17
0.65,0,0.07,0.6,0.5,4.37,gresonitamab_vs_cld8,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD8/gresonitamab_vs_cld8/gresonitamab_vs_cld8_summary_confidences.json,-10.136,0.7042361193561668,gresonitamab,cld8
0.68,0,0.07,0.71,0.635,2.59,osemitamab_vs_cld6,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/osemitamab_offtarget_af3_output/osemitamab_vs_CLD6/osemitamab_vs_cld6/osemitamab_vs_cld6_summary_confidences.json,-8.961,0.6945628089061405,osemitamab,cld6
0.61,0,0.2,0.64,0.46499999999999997,5.29,gresonitamab_vs_cld23,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/gresonitamab_offtarget_af3_output/gresonitamab_vs_CLD23/gresonitamab_vs_cld23/gresonitamab_vs_cld23_summary_confidences.json,-14.717,0.6858231623797737,gresonitamab,cld23
0.59,0,0.09,0.53,0.335,5.47,omectatug_vs_cld2,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/omectatug_offtarget_af3_output/omectatug_vs_CLD2/omectatug_vs_cld2/omectatug_vs_cld2_summary_confidences.json,-12.865,0.6710811604125821,omectatug,cld2
0.66,0,0.2,0.77,0.655,3.19,ixotatug_vs_cld23,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/ixotatug_offtarget_af3_output/ixotatug_vs_CLD23/ixotatug_vs_cld23/ixotatug_vs_cld23_summary_confidences.json,-9.202,0.66558224523972,ixotatug,cld23
0.7,0,0.08,0.67,0.58,3.14,tecotabart_vs_cld3,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/tecotabart_offtarget_af3_output/tecotabart_vs_CLD3/tecotabart_vs_cld3/tecotabart_vs_cld3_summary_confidences.json,-8.772,0.662811411776765,tecotabart,cld3
0.64,0,0.07,0.59,0.38,6.06,lixudebart_vs_cld6,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/lixudebart_offtarget_af3_output/lixudebart_vs_CLD6/lixudebart_vs_cld6/lixudebart_vs_cld6_summary_confidences.json,-11.685,0.6621767832670207,lixudebart,cld6
0.64,0,0.07,0.59,0.38,6.06,eclutatug_vs_cld6,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/eclutatug_offtarget_af3_output/eclutatug_vs_CLD6/eclutatug_vs_cld6/eclutatug_vs_cld6_summary_confidences.json,-11.685,0.6621767832670207,eclutatug,cld6
0.61,0,0.2,0.64,0.45999999999999996,6.2,zolbetuximab_vs_cld23,/home/ozangocmen/RFantibody/mab_OTR/mab_offtarget_folders/af3_outputs/zolbetuximab_offtarget_af3_output/zolbetuximab_vs_CLD23/zolbetuximab_vs_cld23/zolbetuximab_vs_cld23_summary_confidences.json,-12.557,0.6452095571365362,zolbetuximab,cld23
